t,value
1719501420,0
1719501450,0
1719501480,0
1719501510,0
1719501540,0
1719501570,0
1719501600,0
1719501630,0
1719501660,0
1719501690,0
1719501720,0
1719501750,0
1719501780,0
1719501810,0
1719501840,0
1719501870,0
1719501900,0
1719501930,0
1719501960,0
1719501990,0
1719502020,0
1719502050,0
1719502080,0
1719502110,0
1719502140,0
1719502170,0
1719502200,0
1719502230,0
1719502260,0
1719502290,0
1719502320,0
1719502350,0
1719502380,0
1719502410,0
1719502440,0
1719502470,0
1719502500,0
1719502530,0
1719502560,0
1719502590,0
1719502620,0
1719502650,0
1719502680,0
1719502710,0
1719502740,2
1719502770,0
1719502800,0
1719502830,0
1719502860,0
1719502891,0
1719502921,0
1719502951,0
1719502981,0
1719503011,0
1719503041,0
1719503071,0
1719503101,0
1719503131,0
1719503161,0
1719503191,0
1719503221,0
1719503251,0
1719503281,0
1719503311,0
1719503341,0
1719503371,0
1719503401,0
1719503431,0
1719503461,0
1719503491,0
1719503521,0
1719503551,0
1719503582,0
1719503612,0
1719503642,0
1719503672,0
1719503702,0
1719503732,0
1719503762,0
1719503792,0
1719503822,0
1719503852,0
1719503882,0
1719503912,0
1719503942,0
1719503972,0
1719504002,0
1719504032,0
1719504062,0
1719504092,0
1719504122,0
1719504152,0
1719504182,0
1719504212,0
1719504270,0
1719504300,0
1719504330,0
1719504360,0
1719504390,0
1719504420,0
1719504450,0
1719504480,0
1719504510,0
1719504540,0
1719504570,0
1719504600,0
1719504630,0
1719504660,0
1719504690,0
1719504720,0
1719504750,0
1719504780,0
1719504810,0
1719504840,0
1719504870,0
1719504900,0
1719504930,0
1719504960,0
1719504991,0
1719505021,0
1719505051,0
1719505081,0
1719505111,0
1719505141,0
1719505171,0
1719505201,0
1719505231,0
1719505261,0
1719505291,0
1719505321,0
1719505351,0
1719505381,0
1719505411,0
1719505441,0
1719505471,0
1719505501,0
1719505531,0
1719505561,0
1719505591,0
1719505621,0
1719505651,0
1719505681,0
1719505711,0
1719505741,0
1719505771,0
1719505801,0
1719505831,0
1719505861,0
1719505891,0
1719505921,0
1719505951,0
1719505980,0
1719506010,0
1719506040,0
1719506070,0
1719506100,0
1719506130,0
1719506160,0
1719506190,0
1719506220,0
1719506250,0
1719506280,0
1719506310,0
1719506340,0
1719506370,0
1719506401,0
1719506431,0
1719506461,0
1719506491,0
1719506521,0
1719506551,4
1719506581,0
