t,value
1719501420,0.0
1719501450,1.0
1719501480,0.9913700107874865
1719501510,1.0
1719501540,1.0
1719501570,1.0
1719501600,1.0
1719501630,1.0
1719501660,1.0
1719501690,1.0
1719501720,1.0
1719501750,1.0
1719501780,1.0
1719501810,1.0
1719501840,1.0
1719501870,1.0
1719501900,1.0
1719501930,1.0
1719501960,1.0
1719501990,1.0
1719502020,1.0
1719502050,1.0
1719502080,1.0
1719502110,1.0
1719502140,1.0
1719502170,1.0
1719502200,1.0
1719502230,1.0
1719502260,1.0
1719502290,1.0
1719502320,0.9777448071216617
1719502350,1.0
1719502380,1.0
1719502410,1.0
1719502440,1.0
1719502470,1.0
1719502500,1.0
1719502530,1.0
1719502560,1.0
1719502590,1.0
1719502620,1.0
1719502650,1.0
1719502680,1.0
1719502710,1.0
1719502740,1.0
1719502770,1.0
1719502800,1.0
1719502830,1.0
1719502860,1.0
1719502891,1.0
1719502921,1.0
1719502951,1.0
1719502981,1.0
1719503011,1.0
1719503041,1.0
1719503071,1.0
1719503101,1.0
1719503131,1.0
1719503161,1.0
1719503191,1.0
1719503221,1.0
1719503251,1.0
1719503281,1.0
1719503311,1.0
1719503341,1.0
1719503371,1.0
1719503401,1.0
1719503431,1.0
1719503461,1.0
1719503491,1.0
1719503521,1.0
1719503551,1.0
1719503582,1.0
1719503612,1.0
1719503642,1.0
1719503672,1.0
1719503702,1.0
1719503732,1.0
1719503762,1.0
1719503792,1.0
1719503822,1.0
1719503852,1.0
1719503882,1.0
1719503912,1.0
1719503942,1.0
1719503972,1.0
1719504002,1.0
1719504032,1.0
1719504062,1.0
1719504092,1.0
1719504122,1.0
1719504152,1.0
1719504182,1.0
1719504212,1.0
1719504270,0.0
1719504300,1.0
1719504330,1.0
1719504360,1.0
1719504390,1.0
1719504420,1.0
1719504450,1.0
1719504480,1.0
1719504510,1.0
1719504540,1.0
1719504570,1.0
1719504600,1.0
1719504630,1.0
1719504660,1.0
1719504690,1.0
1719504720,1.0
1719504750,1.0
1719504780,1.0
1719504810,1.0
1719504840,1.0
1719504870,1.0
1719504900,1.0
1719504930,1.0
1719504960,1.0
1719504991,1.0
1719505021,1.0
1719505051,1.0
1719505081,1.0
1719505111,1.0
1719505141,1.0
1719505171,1.0
1719505201,1.0
1719505231,1.0
1719505261,1.0
1719505291,1.0
1719505321,1.0
1719505351,1.0
1719505381,1.0
1719505411,1.0
1719505441,1.0
1719505471,1.0
1719505501,1.0
1719505531,1.0
1719505561,1.0
1719505591,1.0
1719505621,1.0
1719505651,1.0
1719505681,1.0
1719505711,1.0
1719505741,1.0
1719505771,1.0
1719505801,1.0
1719505831,1.0
1719505861,1.0
1719505891,1.0
1719505921,1.0
1719505951,1.0
1719505980,0.0
1719506010,1.0
1719506040,1.0
1719506070,1.0
1719506100,1.0
1719506130,1.0
1719506160,1.0
1719506190,1.0
1719506220,1.0
1719506250,1.0
1719506280,1.0
1719506310,1.0
1719506340,1.0
1719506370,1.0
1719506401,1.0
1719506431,1.0
1719506461,1.0
1719506491,1.0
1719506521,1.0
1719506551,1.0
1719506581,1.0
